,(train) RMSE,(train) nRMSE,(train) R2,(val) RMSE,(val) nRMSE,(val) R2
KFOLD_1,2.235500580643594,0.027095490361691437,0.9908392946499261,1.7413559335326783,0.021106186829853144,0.9926156918356173
KFOLD_2,1.7238741164763307,0.020894297640623432,0.9944232754603467,0.99513956752061,0.012061636124706204,0.9980218571787123
KFOLD_3,2.7002772483465263,0.03272883791217978,0.9830730437654418,1.8911306804584458,0.022921538723245878,0.9911218564173779
KFOLD_4,1.8058816705890655,0.023626901247682096,0.9939289857176419,3.4558455641297954,0.045213882615188716,0.9701130119105584
KFOLD_5,3.868889315930637,0.05162979691326929,0.9674380607414675,3.579968459368674,0.04777418773704405,0.9711493437271915
avg,2.4668845863972306,0.031195064815089206,0.9859405320669647,2.3326880410020405,0.029815486406007598,0.9846043522138915
